tVal2,tVal3,tVal4,tVal5,tVal6,tVal7,ax,ay,az,gx,gy,gz
0,1,0,0,1,1,0.01,0.08,-1.11,-447.89,2478.91,-131.51
0,1,0,0,1,1,-0.08,0.07,-1.19,-235.73,4220.85,-342.43
0,1,0,0,1,1,-0.03,0.01,-1.17,-1901.99,952.85,315.14
0,1,0,0,1,1,-0.01,0.02,-1.08,261.79,800.25,306.45
0,1,0,0,1,1,-0.07,0.00,-1.17,2895.78,-756.82,-870.97
0,1,0,0,1,1,-0.03,0.00,-1.17,692.31,-1820.10,1017.37
0,1,0,0,1,1,-0.04,-0.00,-1.18,-1084.37,-1801.49,669.98
0,1,0,0,1,1,0.03,-0.08,-1.14,-2470.22,-2081.89,-26.05
0,1,0,0,1,1,0.09,-0.11,-1.08,-452.85,516.13,491.32
0,1,0,0,1,1,0.00,-0.17,-1.09,2838.71,5951.62,2213.40
0,1,0,0,1,1,-0.11,-0.06,-1.13,4899.51,4460.30,98.01
0,1,0,0,1,1,-0.18,0.01,-1.17,5718.37,-554.59,-2263.03
0,1,0,0,1,1,-0.06,0.05,-1.18,-142.68,-4915.64,-947.89
0,1,0,0,1,1,0.02,0.03,-1.15,-4377.17,-5069.48,-286.60
0,1,0,0,1,1,0.09,-0.11,-1.12,-3491.32,-722.08,784.12
0,1,0,0,1,1,0.04,-0.18,-1.09,233.25,3786.60,1931.76
0,1,0,0,1,1,-0.08,-0.12,-1.16,4749.38,3070.72,806.45
0,1,0,0,1,1,-0.06,0.01,-1.18,4885.86,-96.77,-705.96
0,1,0,0,1,1,-0.02,-0.00,-1.14,2565.76,-1955.34,-2070.72
0,1,0,0,1,1,0.02,0.01,-1.12,1296.53,-1333.75,-1689.83
0,1,0,0,1,1,0.02,-0.01,-1.15,-1598.02,-321.34,382.13
0,1,0,0,1,1,0.01,-0.04,-1.15,-2168.74,-874.69,724.57
0,1,0,0,1,1,0.03,-0.09,-1.12,-1390.82,483.87,1425.56
0,1,0,0,1,1,0.04,-0.12,-1.09,1779.16,3398.26,2452.85
0,1,0,0,1,1,-0.09,-0.08,-1.07,5500.00,4104.22,1523.57
